new entry "Target_ChickenTouch"
type "SkillData"
data "SkillType" "Target"
data "ForGameMaster" "Yes"
data "Ability" "Polymorph"
data "Tier" "Starter"
data "ActionPoints" "2"
data "Cooldown" "6"
data "SkillProperties" "CHICKEN,100,2"
data "TargetRadius" "2"
data "AddWeaponRange" "No"
data "IsMelee" "Yes"
data "MemorizationRequirements" "Polymorph 1"
data "CanTargetCharacters" "Yes"
data "CanTargetItems" "No"
data "CanTargetTerrain" "No"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "TargetConditions" "Character;NonSelf;!Tagged:TOTEM;!Tagged:CHICKENTOUCH_IMMUNE"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "Icon" "Skill_Polymorph_ChickenTouch"
data "DisplayName" "Target_ChickenTouch_DisplayName"
data "DisplayNameRef" "| Chicken Touch |"
data "Description" "Target_ChickenTouch_Description"
data "DescriptionRef" "| Turn target character into a chicken. |"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_touch_01_start"
data "PrepareAnimationLoop" "skill_prepare_touch_01_loop"
data "PrepareEffect" "RS3_FX_Skills_Totem_Prepare_Touch_Root_01:root;RS3_FX_Skills_Totem_Prepare_Touch_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Totem_Prepare_Totem_Chicken_01:Dummy_OverheadFX;RS3_FX_Skills_Totem_Prepare_Totem_Dummy_01:Dummy_OverheadFX"
data "CastAnimation" "skill_cast_target_touch_01_cast"
data "CastSelfAnimation" "skill_cast_self_touch_01_cast"
data "CastTextEvent" "touch"
data "CastEffect" "RS3_FX_Skills_Totem_Cast_Target_Touch_Hand_01:Dummy_R_HandFX;RS3_FX_TommyWiseauJustChicken:Dummy_R_HandFX;RS3_FX_Skills_Totem_Impact_Target_Touch_Root_01:Dummy_R_HandFX:touch;RS3_FX_Skills_Totem_Impact_Target_Touch_Root_01_Addon_Feathers:Dummy_R_HandFX:cast"
data "TargetGroundEffect" "RS3_FX_Skills_Voodoo_Decaying_Impact_01:root:cast"
data "CycleConditions" "Enemy;!Dead"

